Unit,Price,Available,SQFT
M1-3311,"From $3,700",Immediate,723
M1-2807,"From $3,655",Immediate,776
M1-0402,"From $3,895",Immediate,868
M1-2104,"From $3,750",Aug. 28,709
M1-2306,"From $3,705",Sep. 2,808
M1-1504,"From $3,685",Sep. 3,709
M1-1004,"From $3,665",Sep. 4,709
M1-1013,"From $3,565",Sep. 8,830
M1-1013,"From $3,565",Sep. 8,830
M1-1410,"From $3,470",Sep. 10,689
M1-1113,"From $3,765",Sep. 10,830
M1-1113,"From $3,765",Sep. 10,830
M1-3607,"From $3,860",Sep. 30,776
M1-2111,"From $3,325",Oct. 9,723
M1-3413,"From $3,860",Oct. 21,830
M1-3413,"From $3,860",Oct. 21,830
M1-3011,"From $3,520",Oct. 27,723
M2-2103,"From $4,005",Immediate,759
M2-2803,"From $4,030",Immediate,759
M2-3403,"From $4,085",Immediate,759
M2-2207,"From $4,250",Sep. 18,805
M2-0811,"From $4,075",Sep. 23,800
MN-2803N,"From $3,885",Immediate,708
MN-4508N,"From $4,480",Immediate,819
MN-1703N,"From $3,585",Sep. 20,708
MN-1508N,"From $4,055",Sep. 25,819
MN-2603N,"From $3,885",Oct. 3,708
MS-4605S,"From $3,850",Immediate,733
MS-3608S,"From $4,290",Immediate,786
MS-3302S,"From $3,675",Aug. 15,768
MS-2403S,"From $3,605",Sep. 11,733
MS-4203S,"From $3,770",Oct. 2,733
MS-3002S,"From $3,675",Oct. 5,768
